Model Name,criterion,max_depth,n_estimators,Accuracy
RandomForestClassifier,gini,1,1,0.3868290644217565
,gini,1,2,0.3868290644217565
,gini,1,5,0.3868290644217565
,gini,1,10,0.3868290644217565
,gini,1,20,0.3868290644217565
,gini,1,30,0.3868290644217565
,gini,1,50,0.3868290644217565
,gini,2,1,0.5697802853901726
,gini,2,2,0.5697802853901726
,gini,2,5,0.5699295480327184
,gini,2,10,0.5699295480327184
,gini,2,20,0.571332616872649
,gini,2,30,0.571332616872649
,gini,2,50,0.571332616872649
,gini,3,1,0.6490686011105141
,gini,3,2,0.6490686011105141
,gini,3,5,0.6490686011105141
,gini,3,10,0.6490686011105141
,gini,3,20,0.6490686011105141
,gini,3,30,0.6490686011105141
,gini,3,50,0.6490686011105141
,gini,5,1,0.6490686011105141
,gini,5,2,0.6490686011105141
,gini,5,5,0.6490686011105141
,gini,5,10,0.6490686011105141
,gini,5,20,0.6490686011105141
,gini,5,30,0.6490686011105141
,gini,5,50,0.6490686011105141
,gini,10,1,0.6490686011105141
,gini,10,2,0.6490686011105141
,gini,10,5,0.6490686011105141
,gini,10,10,0.6490686011105141
,gini,10,20,0.6490686011105141
,gini,10,30,0.6490686011105141
,gini,10,50,0.6490686011105141
,gini,20,1,0.6490686011105141
,gini,20,2,0.6490686011105141
,gini,20,5,0.6490686011105141
,gini,20,10,0.6490686011105141
,gini,20,20,0.6490686011105141
,gini,20,30,0.6490686011105141
,gini,20,50,0.6490686011105141
,entropy,1,1,0.38188847095348977
,entropy,1,2,0.38188847095348977
,entropy,1,5,0.38188847095348977
,entropy,1,10,0.38188847095348977
,entropy,1,20,0.38188847095348977
,entropy,1,30,0.38188847095348977
,entropy,1,50,0.38188847095348977
,entropy,2,1,0.5740939757597469
,entropy,2,2,0.5740939757597469
,entropy,2,5,0.5740939757597469
,entropy,2,10,0.5740939757597469
,entropy,2,20,0.5740939757597469
,entropy,2,30,0.5740939757597469
,entropy,2,50,0.5740939757597469
,entropy,3,1,0.6490686011105141
,entropy,3,2,0.6490686011105141
,entropy,3,5,0.6490686011105141
,entropy,3,10,0.6490686011105141
,entropy,3,20,0.6490686011105141
,entropy,3,30,0.6490686011105141
,entropy,3,50,0.6490686011105141
,entropy,5,1,0.6490686011105141
,entropy,5,2,0.6490686011105141
,entropy,5,5,0.6490686011105141
,entropy,5,10,0.6490686011105141
,entropy,5,20,0.6490686011105141
,entropy,5,30,0.6490686011105141
,entropy,5,50,0.6490686011105141
,entropy,10,1,0.6490686011105141
,entropy,10,2,0.6490686011105141
,entropy,10,5,0.6490686011105141
,entropy,10,10,0.6490686011105141
,entropy,10,20,0.6490686011105141
,entropy,10,30,0.6490686011105141
,entropy,10,50,0.6490686011105141
,entropy,20,1,0.6490686011105141
,entropy,20,2,0.6490686011105141
,entropy,20,5,0.6490686011105141
,entropy,20,10,0.6490686011105141
,entropy,20,20,0.6490686011105141
,entropy,20,30,0.6490686011105141
,entropy,20,50,0.6490686011105141
Accuracy,Precision,Recall,F1
0.6453528894814995,0.5371740660142218,0.5643026136301156,0.5492262104708788
