Model Name,C,penalty,solver,Accuracy
LogisticRegression,0.01,l1,newton-cg,
,0.01,l1,sag,
,0.01,l1,saga,0.6490686011105141
,0.01,l1,lbfgs,
,0.01,l2,newton-cg,0.6490686011105141
,0.01,l2,sag,0.6490686011105141
,0.01,l2,saga,0.6490686011105141
,0.01,l2,lbfgs,0.6490686011105141
,0.21544346900318834,l1,newton-cg,
,0.21544346900318834,l1,sag,
,0.21544346900318834,l1,saga,0.6490686011105141
,0.21544346900318834,l1,lbfgs,
,0.21544346900318834,l2,newton-cg,0.6490686011105141
,0.21544346900318834,l2,sag,0.6490686011105141
,0.21544346900318834,l2,saga,0.6490686011105141
,0.21544346900318834,l2,lbfgs,0.6490686011105141
,4.6415888336127775,l1,newton-cg,
,4.6415888336127775,l1,sag,
,4.6415888336127775,l1,saga,0.6490686011105141
,4.6415888336127775,l1,lbfgs,
,4.6415888336127775,l2,newton-cg,0.6490686011105141
,4.6415888336127775,l2,sag,0.6490686011105141
,4.6415888336127775,l2,saga,0.6490686011105141
,4.6415888336127775,l2,lbfgs,0.6490686011105141
,100.0,l1,newton-cg,
,100.0,l1,sag,
,100.0,l1,saga,0.6490686011105141
,100.0,l1,lbfgs,
,100.0,l2,newton-cg,0.6490686011105141
,100.0,l2,sag,0.6490686011105141
,100.0,l2,saga,0.6490686011105141
,100.0,l2,lbfgs,0.6490686011105141
Accuracy,Precision,Recall,F1
0.6453528894814995,0.5371740660142218,0.5643026136301156,0.5492262104708788
