Model Name,learning_rate,max_depth,n_estimators,Accuracy
XGBClassifier,0.01,1,1,0.5706907875097021
,0.01,1,2,0.5706907875097021
,0.01,1,5,0.5706907875097021
,0.01,1,10,0.571332616872649
,0.01,2,1,0.571332616872649
,0.01,2,2,0.571332616872649
,0.01,2,5,0.571332616872649
,0.01,2,10,0.5966923398411845
,0.01,5,1,0.6490686011105141
,0.01,5,2,0.6490686011105141
,0.01,5,5,0.6490686011105141
,0.01,5,10,0.6490686011105141
,0.01,10,1,0.6490686011105141
,0.01,10,2,0.6490686011105141
,0.01,10,5,0.6490686011105141
,0.01,10,10,0.6490686011105141
,0.02,1,1,0.5706907875097021
,0.02,1,2,0.5706907875097021
,0.02,1,5,0.571332616872649
,0.02,1,10,0.571332616872649
,0.02,2,1,0.571332616872649
,0.02,2,2,0.571332616872649
,0.02,2,5,0.5966923398411845
,0.02,2,10,0.6226341871156487
,0.02,5,1,0.6490686011105141
,0.02,5,2,0.6490686011105141
,0.02,5,5,0.6490686011105141
,0.02,5,10,0.6490686011105141
,0.02,10,1,0.6490686011105141
,0.02,10,2,0.6490686011105141
,0.02,10,5,0.6490686011105141
,0.02,10,10,0.6490686011105141
,0.1,1,1,0.5706907875097021
,0.1,1,2,0.571332616872649
,0.1,1,5,0.5714072481939221
,0.1,1,10,0.6490686011105141
,0.1,2,1,0.571332616872649
,0.1,2,2,0.5966923398411845
,0.1,2,5,0.6490686011105141
,0.1,2,10,0.6490686011105141
,0.1,5,1,0.6490686011105141
,0.1,5,2,0.6490686011105141
,0.1,5,5,0.6490686011105141
,0.1,5,10,0.6490686011105141
,0.1,10,1,0.6490686011105141
,0.1,10,2,0.6490686011105141
,0.1,10,5,0.6490686011105141
,0.1,10,10,0.6490686011105141
Accuracy,Precision,Recall,F1
0.6453528894814995,0.5371740660142218,0.5643026136301156,0.5492262104708788
